Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
Barcelona,39,24.7,20,29.72 mill. €,1.16 mil mill. €,2018,laliga
Atletico Madrid,37,24.2,17,26.21 mill. €,969.70 mill. €,2018,laliga
Real Madrid,36,24.7,15,24.89 mill. €,896.10 mill. €,2018,laliga
Valencia,33,24.8,17,15.14 mill. €,499.65 mill. €,2018,laliga
Sevilla,38,26.1,21,8.06 mill. €,306.30 mill. €,2018,laliga
Real Sociedad,33,24.1,9,9.12 mill. €,300.95 mill. €,2018,laliga
Real Betis,34,25.4,15,8.55 mill. €,290.75 mill. €,2018,laliga
Athletic Club,32,26.8,3,7.32 mill. €,234.25 mill. €,2018,laliga
Celta Vigo,30,25.3,19,7.80 mill. €,234.10 mill. €,2018,laliga
Villarreal,32,27.5,12,7.21 mill. €,230.65 mill. €,2018,laliga
Espanyol,30,26.8,9,5.82 mill. €,174.70 mill. €,2018,laliga
Getafe,28,27.3,13,4.72 mill. €,132.20 mill. €,2018,laliga
Leganes,38,25.9,19,2.96 mill. €,112.45 mill. €,2018,laliga
Alaves,29,25.9,10,3.82 mill. €,110.80 mill. €,2018,laliga
Levante,31,25.8,10,3.48 mill. €,107.85 mill. €,2018,laliga
Girona,33,25.9,12,2.95 mill. €,97.25 mill. €,2018,laliga
Eibar,29,27.6,8,3.24 mill. €,93.90 mill. €,2018,laliga
Rayo Vallecano,36,26.2,13,2.41 mill. €,86.70 mill. €,2018,laliga
Real Valladolid,41,25.1,8,2.02 mill. €,83.00 mill. €,2018,laliga
SD Huesca,39,26.7,15,1.57 mill. €,61.40 mill. €,2018,laliga
Barcelona,42,24.2,23,22.15 mill. €,930.28 mill. €,2019,laliga
Real Madrid,33,25.6,20,27.69 mill. €,913.75 mill. €,2019,laliga
Atletico Madrid,33,24.8,16,21.82 mill. €,720.15 mill. €,2019,laliga
Valencia,33,25.5,17,12.96 mill. €,427.80 mill. €,2019,laliga
Real Sociedad,36,24.5,8,9.65 mill. €,347.55 mill. €,2019,laliga
Sevilla,35,25.7,16,8.42 mill. €,294.75 mill. €,2019,laliga
Real Betis,38,25.0,10,6.43 mill. €,244.35 mill. €,2019,laliga
Athletic Club,32,26.3,2,6.62 mill. €,211.75 mill. €,2019,laliga
Villarreal,33,26.4,11,6.32 mill. €,208.68 mill. €,2019,laliga
Getafe,33,28.0,17,5.32 mill. €,175.45 mill. €,2019,laliga
Celta Vigo,35,24.9,13,4.77 mill. €,167.00 mill. €,2019,laliga
Espanyol,40,25.8,12,3.90 mill. €,156.05 mill. €,2019,laliga
Leganes,39,25.3,16,2.81 mill. €,109.70 mill. €,2019,laliga
Alaves,37,26.1,11,2.89 mill. €,106.75 mill. €,2019,laliga
Levante,33,26.5,8,2.74 mill. €,90.50 mill. €,2019,laliga
Real Valladolid,37,25.6,9,2.37 mill. €,87.78 mill. €,2019,laliga
Mallorca,35,26.4,15,1.85 mill. €,64.68 mill. €,2019,laliga
Osasuna,37,26.4,4,1.70 mill. €,62.78 mill. €,2019,laliga
Granada,34,25.9,13,1.66 mill. €,56.58 mill. €,2019,laliga
Eibar,29,28.3,11,1.85 mill. €,53.75 mill. €,2019,laliga
Manchester City,46,24.3,34,26.16 mill. €,1.20 mil mill. €,2018,premier-league
Liverpool,39,24.7,25,30.06 mill. €,1.17 mil mill. €,2018,premier-league
Chelsea,54,25.6,40,21.60 mill. €,1.17 mil mill. €,2018,premier-league
Tottenham,34,25.4,20,26.43 mill. €,898.60 mill. €,2018,premier-league
Manchester United,36,25.3,22,22.16 mill. €,797.60 mill. €,2018,premier-league
Arsenal,42,24.9,28,15.69 mill. €,659.05 mill. €,2018,premier-league
Everton,40,26.0,28,13.23 mill. €,529.10 mill. €,2018,premier-league
Leicester,37,26.4,26,11.73 mill. €,434.10 mill. €,2018,premier-league
West Ham,37,26.6,23,9.70 mill. €,359.00 mill. €,2018,premier-league
