Club,Nº jugadores,Edad,Extranjeros,Media valor mercado,Valor de mercado,Año,Liga
Barcelona,32,25.1,20,25.42 mill. €,813.50 mill. €,2020,laliga
Real Madrid,37,24.8,17,21.28 mill. €,787.30 mill. €,2020,laliga
Atletico Madrid,39,24.9,21,19.82 mill. €,773.10 mill. €,2020,laliga
Sevilla,38,25.6,17,11.01 mill. €,418.25 mill. €,2020,laliga
Real Sociedad,38,24.7,6,10.70 mill. €,406.60 mill. €,2020,laliga
Villarreal,36,25.9,13,8.13 mill. €,292.60 mill. €,2020,laliga
Valencia,35,24.7,20,7.97 mill. €,278.85 mill. €,2020,laliga
Real Betis,33,26.8,12,6.29 mill. €,207.70 mill. €,2020,laliga
Athletic Club,32,25.9,2,6.38 mill. €,204.15 mill. €,2020,laliga
Getafe,33,25.4,19,5.15 mill. €,170.10 mill. €,2020,laliga
Celta Vigo,41,24.3,12,3.80 mill. €,155.85 mill. €,2020,laliga
Granada,44,24.9,17,2.79 mill. €,122.65 mill. €,2020,laliga
Levante,34,26.5,10,3.32 mill. €,113.00 mill. €,2020,laliga
Osasuna,36,27,7,2.69 mill. €,96.75 mill. €,2020,laliga
Eibar,34,27.1,9,2.45 mill. €,83.40 mill. €,2020,laliga
Alaves,35,25.6,10,2.28 mill. €,79.80 mill. €,2020,laliga
SD Huesca,34,26.5,8,1.89 mill. €,64.10 mill. €,2020,laliga
Real Valladolid,39,26.9,9,1.62 mill. €,63.05 mill. €,2020,laliga
Cadiz,41,27.2,16,1.16 mill. €,47.65 mill. €,2020,laliga
Elche,42,26.7,15,1.09 mill. €,45.65 mill. €,2020,laliga
Real Madrid,36,25.7,19,21.41 mill. €,770.75 mill. €,2021,laliga
Barcelona,47,25.1,23,15.65 mill. €,735.60 mill. €,2021,laliga
Atletico Madrid,43,25.3,24,15.39 mill. €,661.80 mill. €,2021,laliga
Villarreal,39,26,15,10.48 mill. €,408.90 mill. €,2021,laliga
Sevilla,43,25.7,21,8.95 mill. €,385.00 mill. €,2021,laliga
Real Sociedad,40,24.7,8,9.42 mill. €,376.95 mill. €,2021,laliga
Valencia,44,23.6,20,7.06 mill. €,310.60 mill. €,2021,laliga
Real Betis,38,27.4,13,6.82 mill. €,259.00 mill. €,2021,laliga
Athletic Club,31,25.7,1,7.29 mill. €,226.05 mill. €,2021,laliga
Getafe,43,25.2,18,4.85 mill. €,208.68 mill. €,2021,laliga
Espanyol,38,25.4,7,3.46 mill. €,131.60 mill. €,2021,laliga
Celta Vigo,34,25.5,11,3.53 mill. €,120.00 mill. €,2021,laliga
Osasuna,32,26.9,4,3.39 mill. €,108.45 mill. €,2021,laliga
Granada,39,26.5,16,2.66 mill. €,103.75 mill. €,2021,laliga
Levante,42,26.3,12,1.85 mill. €,77.90 mill. €,2021,laliga
Mallorca,41,25.7,15,1.81 mill. €,74.15 mill. €,2021,laliga
Elche,37,27.4,13,1.97 mill. €,72.98 mill. €,2021,laliga
Cadiz,37,27.3,14,1.83 mill. €,67.80 mill. €,2021,laliga
Rayo Vallecano,36,26.2,14,1.87 mill. €,67.20 mill. €,2021,laliga
Alaves,43,25.1,15,1.52 mill. €,65.35 mill. €,2021,laliga
Real Madrid,23,27.9,16,36.91 mill. €,849.00 mill. €,2022,laliga
Barcelona,23,25.2,9,33.78 mill. €,777.00 mill. €,2022,laliga
Atletico Madrid,22,28.4,15,21.82 mill. €,480.00 mill. €,2022,laliga
Real Sociedad,26,25.3,5,14.63 mill. €,380.50 mill. €,2022,laliga
Villarreal,23,28.2,9,12.77 mill. €,293.70 mill. €,2022,laliga
Real Betis,27,28.5,13,9.63 mill. €,260.00 mill. €,2022,laliga
Valencia,25,24.9,14,9.98 mill. €,249.50 mill. €,2022,laliga
Sevilla,25,28.7,19,9.20 mill. €,230.00 mill. €,2022,laliga
Athletic Club,26,27.3,1,8.63 mill. €,224.30 mill. €,2022,laliga
Getafe,25,27.4,12,5.69 mill. €,142.20 mill. €,2022,laliga
Osasuna,21,27.8,4,5.91 mill. €,124.20 mill. €,2022,laliga
Celta Vigo,22,26.2,9,5.65 mill. €,124.20 mill. €,2022,laliga
Girona,25,26.4,11,4.59 mill. €,114.70 mill. €,2022,laliga
Almeria,29,25.5,15,3.46 mill. €,100.20 mill. €,2022,laliga
Espanyol,25,25.3,7,3.96 mill. €,98.90 mill. €,2022,laliga
Rayo Vallecano,27,28.4,10,3.39 mill. €,91.50 mill. €,2022,laliga
Mallorca,24,27.8,14,3.26 mill. €,78.30 mill. €,2022,laliga
Real Valladolid,27,27.9,12,2.59 mill. €,69.80 mill. €,2022,laliga
Elche,25,27.4,9,2.68 mill. €,66.90 mill. €,2022,laliga
Cadiz,27,28.9,9,2.14 mill. €,57.70 mill. €,2022,laliga
Manchester City,36,24.9,23,29.01 mill. €,1.04 mil mill. €,2020,premier-league
Liverpool,43,24.4,28,22.55 mill. €,969.65 mill. €,2020,premier-league
Chelsea,39,25.2,23,22.80 mill. €,889.20 mill. €,2020,premier-league
Manchester United,39,24.9,24,19.74 mill. €,770.05 mill. €,2020,premier-league
Tottenham,41,24.6,23,17.16 mill. €,703.50 mill. €,2020,premier-league
Arsenal,42,24.4,26,14.74 mill. €,619.25 mill. €,2020,premier-league
Everton,44,24.7,26,11.62 mill. €,511.20 mill. €,2020,premier-league
Leicester,40,25.3,25,12.77 mill. €,510.70 mill. €,2020,premier-league
Wolverhampton Wanderers,38,23.9,32,11.85 mill. €,450.30 mill. €,2020,premier-league
Aston Villa,53,23.3,24,8.13 mill. €,430.75 mill. €,2020,premier-league
West Ham,39,26.5,23,8.59 mill. €,334.90 mill. €,2020,premier-league
Brighton,46,24.3,29,6.31 mill. €,290.40 mill. €,2020,premier-league
Southampton,39,24.5,20,7.25 mill. €,282.80 mill. €,2020,premier-league
Newcastle United,33,26.9,18,7.74 mill. €,255.35 mill. €,2020,premier-league
Fulham,38,26.4,30,6.31 mill. €,239.75 mill. €,2020,premier-league
Leeds,39,24.5,23,6.11 mill. €,238.10 mill. €,2020,premier-league
Crystal Palace,36,27.7,18,5.38 mill. €,193.85 mill. €,2020,premier-league
Sheffield United,40,24.9,15,3.75 mill. €,149.85 mill. €,2020,premier-league
West Bromwich Albion,43,26.1,17,3.28 mill. €,141.15 mill. €,2020,premier-league
Burnley,32,26.6,11,4.13 mill. €,132.30 mill. €,2020,premier-league
Manchester City,39,24.3,23,25.74 mill. €,1.00 mil mill. €,2021,premier-league
Liverpool,49,24,28,18.75 mill. €,918.90 mill. €,2021,premier-league
Chelsea,44,25.1,25,20.78 mill. €,914.50 mill. €,2021,premier-league
Manchester United,43,25.5,28,17.89 mill. €,769.15 mill. €,2021,premier-league
Tottenham,45,23.5,26,15.32 mill. €,689.35 mill. €,2021,premier-league
Arsenal,41,23.4,24,14.95 mill. €,613.05 mill. €,2021,premier-league
Leicester,40,25.1,24,13.16 mill. €,526.55 mill. €,2021,premier-league
Aston Villa,44,24.2,21,11.09 mill. €,487.75 mill. €,2021,premier-league
Everton,42,25.5,22,11.41 mill. €,479.05 mill. €,2021,premier-league
Wolverhampton Wanderers,38,24.4,30,9.92 mill. €,376.95 mill. €,2021,premier-league
West Ham,36,26,20,9.86 mill. €,354.90 mill. €,2021,premier-league
Brighton,43,24.1,30,7.40 mill. €,318.00 mill. €,2021,premier-league
Newcastle United,34,27.4,18,9.23 mill. €,313.90 mill. €,2021,premier-league
Leeds,35,23.5,18,8.56 mill. €,299.45 mill. €,2021,premier-league
Southampton,33,25.1,18,8.31 mill. €,274.30 mill. €,2021,premier-league
Brentford,38,24.3,26,7.19 mill. €,273.30 mill. €,2021,premier-league
Crystal Palace,33,25.9,16,8.21 mill. €,271.05 mill. €,2021,premier-league
Norwich,45,24.2,28,3.63 mill. €,163.20 mill. €,2021,premier-league
Watford,47,25.8,36,3.32 mill. €,156.20 mill. €,2021,premier-league
Burnley,35,27.3,16,3.94 mill. €,138.05 mill. €,2021,premier-league
Manchester City,25,26.7,17,44.75 mill. €,1.12 mil mill. €,2022,premier-league
Chelsea,33,25.3,22,31.05 mill. €,1.02 mil mill. €,2022,premier-league
Liverpool,30,26.4,21,31.03 mill. €,931.00 mill. €,2022,premier-league
Arsenal,25,24.7,18,31.88 mill. €,797.00 mill. €,2022,premier-league
Manchester United,29,26.1,18,25.59 mill. €,742.10 mill. €,2022,premier-league
Tottenham,27,26.3,18,26.79 mill. €,723.30 mill. €,2022,premier-league
Newcastle United,30,27.5,16,16.10 mill. €,482.90 mill. €,2022,premier-league
West Ham,23,27.6,17,20.54 mill. €,472.50 mill. €,2022,premier-league
Leicester,28,27.1,19,16.33 mill. €,457.10 mill. €,2022,premier-league
Aston Villa,23,27.4,16,19.16 mill. €,440.60 mill. €,2022,premier-league
Wolverhampton Wanderers,31,25.5,27,12.92 mill. €,400.50 mill. €,2022,premier-league
Everton,26,27.6,12,14.17 mill. €,368.30 mill. €,2022,premier-league
Southampton,28,25.2,19,12.66 mill. €,354.50 mill. €,2022,premier-league
Brentford,25,25.4,20,12.68 mill. €,317.10 mill. €,2022,premier-league
Nottingham Forest,34,26.8,21,9.29 mill. €,315.90 mill. €,2022,premier-league
Brighton,24,24.8,17,12.86 mill. €,308.60 mill. €,2022,premier-league
Crystal Palace,22,27.5,13,13.12 mill. €,288.70 mill. €,2022,premier-league
Leeds,25,25.8,20,11.52 mill. €,288.00 mill. €,2022,premier-league
Fulham,24,27.9,20,10.00 mill. €,240.00 mill. €,2022,premier-league
Bournemouth,26,26.7,14,7.26 mill. €,188.70 mill. €,2022,premier-league
