Nº,Formation,Min,Sh,G,ShA,GA,xG,xGA,xGD,xG90,xGA90,Año,Club
1,4-3-3,1458,256,31,115,5,40.30+9.30,12.15+7.15,28.15,2.49,0.75,2022,Barcelona
2,3-2-4-1,76,14,3,9,1,1.48-1.52,0.78-0.22,0.71,1.76,0.92,2022,Barcelona
3,4-4-1-1,64,6,2,10,0,0.84-1.16,0.91+0.91,-0.07,1.18,1.28,2022,Barcelona
4,3-1-4-2,12,0,0,2,0,0.00,0.10+0.10,-0.10,0.00,0.77,2022,Barcelona
1,4-3-3,1605,277,38,199,16,36.91-1.09,19.23+3.23,17.67,2.07,1.08,2022,Real_Madrid
2,4-2-3-1,16,6,0,1,0,0.60+0.60,0.06+0.06,0.55,3.40,0.32,2022,Real_Madrid
3,3-4-3,7,3,0,1,0,0.66+0.66,0.01+0.01,0.64,8.46,0.19,2022,Real_Madrid
1,4-1-3-2,760,108,11,73,5,14.96+3.96,5.62+0.62,9.34,1.77,0.67,2022,Real_Sociedad
2,4-1-2-1-2,458,54,6,63,7,7.05+1.05,7.19+0.19,-0.13,1.39,1.41,2022,Real_Sociedad
3,4-4-2,290,29,7,42,5,4.98-2.02,2.33-2.67,2.64,1.54,0.72,2022,Real_Sociedad
4,4-2-3-1,99,15,1,7,0,2.64+1.64,0.29+0.29,2.35,2.40,0.27,2022,Real_Sociedad
5,4-3-3,56,12,0,4,1,1.41+1.41,0.18-0.82,1.23,2.26,0.28,2022,Real_Sociedad
6,4-3-1-2,51,7,3,2,0,1.81-1.19,0.52+0.52,1.29,3.19,0.92,2022,Real_Sociedad
1,4-4-2,533,72,5,60,4,6.19+1.19,6.44+2.44,-0.25,1.05,1.09,2022,Atletico_Madrid
2,5-3-2,312,38,8,40,1,5.54-2.46,3.18+2.18,2.36,1.60,0.92,2022,Atletico_Madrid
3,4-1-4-1,243,44,5,25,1,7.85+2.85,1.75+0.75,6.10,2.91,0.65,2022,Atletico_Madrid
4,3-1-4-2,196,29,1,31,3,3.93+2.93,3.74+0.74,0.18,1.80,1.72,2022,Atletico_Madrid
5,3-5-2,163,26,2,14,5,3.28+1.28,2.71-2.29,0.57,1.81,1.49,2022,Atletico_Madrid
6,5-4-1,128,23,3,18,1,3.72+0.72,0.84-0.16,2.88,2.61,0.59,2022,Atletico_Madrid
7,3-4-2-1,90,25,2,5,0,2.31+0.31,0.09+0.09,2.22,2.31,0.09,2022,Atletico_Madrid
8,4-5-1,33,4,0,8,1,0.24+0.24,1.38+0.38,-1.14,0.65,3.77,2022,Atletico_Madrid
9,4-3-1-2,25,2,1,2,0,0.17-0.83,0.53+0.53,-0.36,0.62,1.90,2022,Atletico_Madrid
1,4-4-2,934,122,12,122,6,17.65+5.65,12.71+6.71,4.94,1.70,1.22,2022,Villarreal
2,4-3-3,486,67,6,67,3,9.56+3.56,6.91+3.91,2.66,1.77,1.28,2022,Villarreal
3,4-2-3-1,183,20,1,18,3,0.99-0.01,1.80-1.20,-0.81,0.49,0.89,2022,Villarreal
