Nº,Formation,Min,Sh,G,ShA,GA,xG,xGA,xGD,xG90,xGA90,Año,Club
1,4-3-3,2453,371,52,233,17,55.78+3.78,22.29+5.29,33.50,2.05,0.82,2019,Real_Madrid
2,4-1-4-1,490,87,8,42,3,8.69+0.69,4.90+1.90,3.79,1.60,0.90,2019,Real_Madrid
3,4-2-3-1,239,33,4,23,1,2.93-1.07,2.28+1.28,0.65,1.10,0.86,2019,Real_Madrid
4,4-4-2,187,36,2,15,2,4.03+2.03,2.13+0.13,1.89,1.94,1.03,2019,Real_Madrid
5,4-3-2-1,95,11,2,13,1,0.53-1.47,0.93-0.07,-0.40,0.50,0.88,2019,Real_Madrid
6,4-1-2-1-2,80,16,0,7,0,0.77+0.77,0.64+0.64,0.13,0.86,0.72,2019,Real_Madrid
7,4-4-1-1,35,9,2,3,1,0.81-1.19,0.32-0.68,0.49,2.09,0.84,2019,Real_Madrid
8,4-5-1,4,1,0,0,0,0.39+0.39,0.00,0.39,8.77,0.00,2019,Real_Madrid
1,4-3-3,2578,372,73,270,26,58.80-14.20,27.26+1.26,31.54,2.05,0.95,2019,Barcelona
2,4-1-2-1-2,236,31,7,22,3,5.50-1.50,2.49-0.51,3.01,2.10,0.95,2019,Barcelona
3,3-1-4-2,187,32,1,13,2,2.59+1.59,1.64-0.36,0.95,1.24,0.79,2019,Barcelona
4,4-4-2,178,21,1,20,1,2.39+1.39,1.20+0.20,1.19,1.21,0.61,2019,Barcelona
5,4-3-1-2,142,17,2,13,2,3.01+1.01,2.27+0.27,0.74,1.91,1.44,2019,Barcelona
6,4-2-3-1,137,15,2,13,2,1.95-0.05,1.32-0.68,0.63,1.28,0.87,2019,Barcelona
7,4-1-3-2,34,1,0,7,0,0.02+0.02,0.27+0.27,-0.25,0.06,0.72,2019,Barcelona
8,4-4-1-1,28,2,0,4,1,0.39+0.39,0.60-0.40,-0.20,1.26,1.91,2019,Barcelona
9,4-1-4-1,26,5,0,6,1,0.41+0.41,0.70-0.30,-0.29,1.43,2.42,2019,Barcelona
10,3-5-2,16,0,0,3,0,0.00,0.29+0.29,-0.29,0.00,1.62,2019,Barcelona
1,4-4-2,3140,413,47,374,25,53.13+6.13,30.83+5.83,22.30,1.52,0.88,2019,Atletico_Madrid
2,4-1-4-1,103,9,1,14,0,1.23+0.23,1.00+1.00,0.23,1.08,0.87,2019,Atletico_Madrid
3,4-1-2-1-2,92,6,2,3,0,1.77-0.23,0.10+0.10,1.68,1.73,0.09,2019,Atletico_Madrid
4,3-1-4-2,62,4,0,5,0,0.68+0.68,0.34+0.34,0.34,0.99,0.50,2019,Atletico_Madrid
5,4-4-1-1,54,3,0,6,0,1.48+1.48,0.33+0.33,1.14,2.46,0.56,2019,Atletico_Madrid
6,4-3-3,48,4,0,6,0,0.21+0.21,0.24+0.24,-0.03,0.39,0.44,2019,Atletico_Madrid
7,4-2-3-1,34,8,0,3,0,0.74+0.74,0.12+0.12,0.62,1.96,0.31,2019,Atletico_Madrid
8,4-3-1-2,33,2,1,3,2,1.15+0.15,0.64-1.36,0.51,3.15,1.76,2019,Atletico_Madrid
1,4-3-3,2823,381,41,288,29,39.94-1.06,29.53+0.53,10.41,1.27,0.94,2019,Sevilla
2,4-2-3-1,257,29,2,32,0,3.33+1.33,1.88+1.88,1.45,1.17,0.66,2019,Sevilla
