Club,Goles,Tiros pp,Amarillas,Rojas,Posesión (%),Acierto Pase (%),Aéreos,Rating,Año,Pais
Real Madrid,70,14.8,76,4,57.1,86.9,14.1,6.97,2019,Espa%C3%B1a
Barcelona,86,13,86,6,63.2,88.8,12.5,6.95,2019,Espa%C3%B1a
Sevilla,54,12.9,96,1,55.9,83,20.4,6.8,2019,Espa%C3%B1a
Atletico Madrid,51,11.8,89,3,48.9,78.8,22.7,6.78,2019,Espa%C3%B1a
Villarreal,63,13,78,1,29.6,82.7,15.1,6.75,2019,Espa%C3%B1a
Real Sociedad,56,11.3,77,2,54.6,81.1,22.4,6.69,2019,Espa%C3%B1a
Athletic Club,41,10.8,90,2,49,76.4,24.9,6.67,2019,Espa%C3%B1a
Granada,52,10.4,107,1,45.2,71.3,20.4,6.65,2019,Espa%C3%B1a
Real Betis,48,12.6,105,9,55.7,83.4,15.8,6.61,2019,Espa%C3%B1a
Celta Vigo,37,9.7,100,6,51.3,80.5,17.7,6.61,2019,Espa%C3%B1a
Osasuna,46,12.2,104,6,47.8,70.5,23.7,6.61,2019,Espa%C3%B1a
Getafe,43,10.9,131,7,45.8,61.9,25,6.61,2019,Espa%C3%B1a
Valencia,46,8.9,75,8,49.4,81.7,15,6.6,2019,Espa%C3%B1a
Levante,47,11.2,71,5,48.8,77.9,14.1,6.6,2019,Espa%C3%B1a
Eibar,39,11.3,88,3,46.7,69.2,26.4,6.58,2019,Espa%C3%B1a
Real Valladolid,32,9.9,84,0,15.4,74.4,17.1,6.57,2019,Espa%C3%B1a
Leganes,30,11.4,125,4,45,72.2,21.3,6.55,2019,Espa%C3%B1a
Mallorca,40,11.1,85,5,46.3,77.6,17.5,6.52,2019,Espa%C3%B1a
Alaves,34,8.2,105,7,43.2,70.2,24.5,6.52,2019,Espa%C3%B1a
Espanyol,27,10.8,95,9,47.5,74.6,21,6.47,2019,Espa%C3%B1a
Barcelona,90,14.7,75,2,61.4,88.3,12.1,6.99,2018,Espa%C3%B1a
Atletico Madrid,55,11.7,97,5,49.3,80.6,18.2,6.9,2018,Espa%C3%B1a
Real Madrid,63,15.6,75,6,57.8,87.5,13.1,6.86,2018,Espa%C3%B1a
Valencia,51,12.6,87,3,47.8,79.6,16.3,6.8,2018,Espa%C3%B1a
Sevilla,62,13.9,111,6,51.4,79.6,17.9,6.78,2018,Espa%C3%B1a
Villarreal,49,13,112,3,48.5,79.9,16.9,6.72,2018,Espa%C3%B1a
Real Sociedad,45,11.3,78,4,51.7,80.2,19,6.7,2018,Espa%C3%B1a
Eibar,46,14,79,2,52,72.7,27.1,6.7,2018,Espa%C3%B1a
Real Betis,44,11.7,90,1,59.4,86.7,12.7,6.69,2018,Espa%C3%B1a
Celta Vigo,53,11.9,74,6,51.5,81.8,18,6.69,2018,Espa%C3%B1a
Espanyol,48,12.5,87,2,49.6,80,16.3,6.69,2018,Espa%C3%B1a
Getafe,48,10.6,104,7,43,63.7,22.8,6.69,2018,Espa%C3%B1a
Athletic Club,41,10.2,117,5,49.7,76.9,25.3,6.68,2018,Espa%C3%B1a
Leganes,37,11,102,4,44.5,73.2,25.1,6.67,2018,Espa%C3%B1a
Alaves,39,11.3,101,1,44.6,70.8,23.6,6.66,2018,Espa%C3%B1a
Levante,59,11.6,101,7,46.6,75.3,13.1,6.65,2018,Espa%C3%B1a
Girona,37,10.5,79,4,48.5,78.6,20.4,6.65,2018,Espa%C3%B1a
SD Huesca,43,12.4,112,3,45.8,73.7,20.3,6.62,2018,Espa%C3%B1a
Rayo Vallecano,41,12.1,97,8,49.5,78.9,14.6,6.61,2018,Espa%C3%B1a
Real Valladolid,32,10.9,93,0,47.5,76.4,16.3,6.59,2018,Espa%C3%B1a
Manchester City,102,19.6,60,4,62.6,89.3,13.6,7.05,2019,Inglaterra
Liverpool,85,15.6,38,1,59.6,84.3,17.6,6.94,2019,Inglaterra
Leicester,67,14.2,41,3,55.1,82.8,17.8,6.87,2019,Inglaterra
Chelsea,69,16.4,60,0,57.9,85.2,18.7,6.86,2019,Inglaterra
Manchester United,66,14.3,73,0,54.6,83.6,15,6.83,2019,Inglaterra
Wolverhampton Wanderers,51,12.1,57,2,48.7,79.2,20.7,6.83,2019,Inglaterra
Tottenham,61,11.7,82,3,51.5,81.4,17.1,6.78,2019,Inglaterra
Burnley,43,10.2,67,0,43.9,70,25.5,6.74,2019,Inglaterra
West Ham,49,11,62,1,45.4,76.1,22.9,6.72,2019,Inglaterra
