Club,Goles,Tiros pp,Amarillas,Rojas,Posesión (%),Acierto Pase (%),Aéreos,Rating,Año,Pais
Barcelona,85,15.3,68,2,36.9,89.7,10.6,6.87,2020,Espa%C3%B1a
Real Madrid,67,14.4,57,2,57.7,87.7,11.8,6.86,2020,Espa%C3%B1a
Atletico Madrid,67,12.1,100,0,51.8,83.1,14.4,6.84,2020,Espa%C3%B1a
Sevilla,53,12.1,75,2,58.7,86.2,16.6,6.70,2020,Espa%C3%B1a
Villarreal,60,10.7,65,5,54.3,84.4,13,6.66,2020,Espa%C3%B1a
Real Sociedad,59,11.3,81,1,53.7,80.8,17.9,6.65,2020,Espa%C3%B1a
Real Betis,50,11.7,87,8,52.9,82.0,16.4,6.64,2020,Espa%C3%B1a
Valencia,50,10.3,77,5,47.9,79.4,16.3,6.60,2020,Espa%C3%B1a
Celta Vigo,55,9.4,104,5,52.0,79.9,16.5,6.60,2020,Espa%C3%B1a
SD Huesca,34,10.7,68,2,48.7,79.8,15.7,6.55,2020,Espa%C3%B1a
Athletic Club,46,10.6,81,3,49.4,78.5,17.9,6.54,2020,Espa%C3%B1a
Osasuna,37,9.8,74,5,44.6,70.2,26.8,6.54,2020,Espa%C3%B1a
Eibar,29,11.9,67,3,49.2,72.6,24.4,6.53,2020,Espa%C3%B1a
Alaves,36,9.1,87,8,44.6,72.9,22.6,6.50,2020,Espa%C3%B1a
Levante,46,10.1,70,1,51.5,80.1,12.2,6.50,2020,Espa%C3%B1a
Getafe,28,9.5,117,7,8.9,66.5,22.8,6.49,2020,Espa%C3%B1a
Elche,34,7.1,95,3,48.1,81.5,13.2,6.48,2020,Espa%C3%B1a
Granada,47,9.4,96,6,43.4,70.0,18.3,6.47,2020,Espa%C3%B1a
Cadiz,36,8,77,3,38.5,68.8,18.5,6.47,2020,Espa%C3%B1a
Real Valladolid,34,9.7,93,4,46.2,74.8,17.1,6.46,2020,Espa%C3%B1a
Real Madrid,80,17.3,76,0,60.1,89.0,10.5,6.90,2021,Espa%C3%B1a
Barcelona,68,13.6,91,5,64.7,88.3,12.2,6.77,2021,Espa%C3%B1a
Real Betis,62,13.6,85,6,53.8,82.5,13.4,6.72,2021,Espa%C3%B1a
Villarreal,63,12,79,1,56.8,83.6,13,6.72,2021,Espa%C3%B1a
Atletico Madrid,65,12.2,106,7,50.2,81.1,15,6.68,2021,Espa%C3%B1a
Sevilla,53,11.4,94,4,59.9,84.7,15.7,6.65,2021,Espa%C3%B1a
Real Sociedad,40,11.6,76,4,54.6,81.8,18.1,6.64,2021,Espa%C3%B1a
Celta Vigo,43,10.8,85,3,55.4,79.8,16,6.62,2021,Espa%C3%B1a
Athletic Club,43,12.3,84,4,47.5,77.1,15.7,6.59,2021,Espa%C3%B1a
Rayo Vallecano,39,13.3,100,3,49.4,77.6,17.6,6.56,2021,Espa%C3%B1a
Osasuna,37,11.4,83,2,46.1,74.4,21.7,6.55,2021,Espa%C3%B1a
Valencia,48,10.6,123,8,43.3,71.9,15.1,6.54,2021,Espa%C3%B1a
Getafe,33,10.8,119,8,40.4,72.3,19.3,6.54,2021,Espa%C3%B1a
Cadiz,35,10.8,100,3,40.5,73.6,16.1,6.53,2021,Espa%C3%B1a
Espanyol,40,10.7,93,7,46.7,81.1,12.1,6.52,2021,Espa%C3%B1a
Granada,44,11.2,103,4,43.9,72.9,16.2,6.52,2021,Espa%C3%B1a
Elche,40,8.8,103,6,48.0,79.2,14.3,6.51,2021,Espa%C3%B1a
Mallorca,36,11.8,105,7,44.6,76.0,17.4,6.48,2021,Espa%C3%B1a
Alaves,31,10,87,4,41.3,70.3,23.1,6.46,2021,Espa%C3%B1a
Levante,51,11.7,105,6,46.6,78.3,11.9,6.46,2021,Espa%C3%B1a
Barcelona,37,15.7,43,5,65.0,88.6,10.6,6.87,2022,Espa%C3%B1a
Real Madrid,38,17,26,1,57.8,89.6,8.1,6.83,2022,Espa%C3%B1a
Atletico Madrid,28,14.4,47,5,49.0,83.4,13.1,6.68,2022,Espa%C3%B1a
Real Sociedad,28,12.2,51,1,54.2,82.5,15.9,6.66,2022,Espa%C3%B1a
Villarreal,21,11.9,42,2,52.8,85.2,8.9,6.65,2022,Espa%C3%B1a
Real Betis,20,10.9,36,8,51.5,82.8,10.9,6.62,2022,Espa%C3%B1a
Athletic Club,25,14.6,34,2,51.8,80.7,12.2,6.58,2022,Espa%C3%B1a
Valencia,25,14.1,48,4,58.0,83.1,12.8,6.57,2022,Espa%C3%B1a
Rayo Vallecano,24,13.2,44,2,53.6,80.3,11.2,6.53,2022,Espa%C3%B1a
Espanyol,23,10.5,45,5,40.5,75.3,16.8,6.52,2022,Espa%C3%B1a
Mallorca,15,9,69,2,41.6,77.6,14.5,6.51,2022,Espa%C3%B1a
Osasuna,18,12.3,52,4,47.7,78.1,15.2,6.51,2022,Espa%C3%B1a
Real Valladolid,14,11.2,39,2,48.5,79.9,12.2,6.49,2022,Espa%C3%B1a
Celta Vigo,18,12.6,39,3,50.9,82.8,11.8,6.49,2022,Espa%C3%B1a
Almeria,23,11.7,52,3,46.1,79.4,11.5,6.49,2022,Espa%C3%B1a
Girona,26,12.8,45,1,50.7,84.3,11.3,6.49,2022,Espa%C3%B1a
Sevilla,21,12.3,63,7,57.1,85.1,10.8,6.48,2022,Espa%C3%B1a
Getafe,16,9.2,50,6,40.2,75.2,16.3,6.43,2022,Espa%C3%B1a
Cadiz,14,9.1,48,6,39.6,74.0,14.8,6.41,2022,Espa%C3%B1a
Elche,12,8.5,55,7,42.4,79.0,11.1,6.30,2022,Espa%C3%B1a
Manchester City,83,15.8,46,2,60.8,89.4,12.8,7.01,2020,Inglaterra
Manchester United,73,13.8,64,1,54.5,84.8,14.5,6.85,2020,Inglaterra
Aston Villa,55,13.7,63,4,49.1,78.6,19.4,6.84,2020,Inglaterra
Chelsea,58,14.6,49,3,58.6,87.0,15.2,6.83,2020,Inglaterra
Liverpool,68,16,40,0,59.0,85.7,14.3,6.82,2020,Inglaterra
Tottenham,68,11.7,53,2,51.3,81.8,16.4,6.81,2020,Inglaterra
Leicester,68,12.8,61,0,53.2,82.1,16.2,6.80,2020,Inglaterra
Leeds,62,13.7,61,1,55.1,80.8,14.5,6.77,2020,Inglaterra
West Ham,62,12.3,48,3,44.5,77.8,19.9,6.77,2020,Inglaterra
Everton,47,10.5,59,2,47.3,81.4,17.7,6.73,2020,Inglaterra
Arsenal,55,12.1,47,5,52.7,85.0,13.5,6.69,2020,Inglaterra
Wolverhampton Wanderers,36,12.2,53,1,49.7,83.2,15.3,6.67,2020,Inglaterra
Brighton,40,12.8,45,6,50.7,81.3,14.2,6.65,2020,Inglaterra
Burnley,33,10.1,48,0,43.5,71.6,23.4,6.64,2020,Inglaterra
Fulham,27,11.6,67,3,50.0,81.2,17.2,6.63,2020,Inglaterra
Southampton,47,11.2,52,3,51.4,79.3,14.1,6.62,2020,Inglaterra
Newcastle United,46,10.4,61,3,41.6,76.0,17.1,6.62,2020,Inglaterra
Crystal Palace,41,9.2,54,2,42.9,76.1,18.3,6.61,2020,Inglaterra
West Bromwich Albion,35,8.9,51,4,41.0,72.2,19.1,6.51,2020,Inglaterra
Sheffield United,20,8.5,73,3,43.0,76.9,19.1,6.46,2020,Inglaterra
Manchester City,99,18.8,42,1,68.2,89.7,12.7,7.11,2021,Inglaterra
Liverpool,94,19.2,50,1,63.1,84.9,15.1,7.05,2021,Inglaterra
Chelsea,76,15.6,63,1,62.2,87.1,14.3,6.92,2021,Inglaterra
Tottenham,69,12.9,67,1,51.9,85.0,14.9,6.88,2021,Inglaterra
West Ham,60,11.8,47,3,47.4,80.6,16.9,6.74,2021,Inglaterra
Crystal Palace,50,10.8,67,1,50.8,80.3,16.1,6.72,2021,Inglaterra
Arsenal,61,15.5,60,4,52.6,83.4,12.4,6.71,2021,Inglaterra
Manchester United,57,13.4,75,2,52.1,82.8,14.7,6.71,2021,Inglaterra
Brighton,42,12.9,73,2,54.3,81.7,15.1,6.70,2021,Inglaterra
Leicester,62,11.4,55,1,51.8,81.8,14,6.69,2021,Inglaterra
Wolverhampton Wanderers,38,10.6,59,2,49.3,81.3,12.2,6.69,2021,Inglaterra
Aston Villa,52,12.2,79,2,46.3,79.7,14.3,6.68,2021,Inglaterra
Burnley,34,10.7,68,2,39.1,69.2,21.9,6.65,2021,Inglaterra
Brentford,48,11.6,61,3,44.3,73.7,19,6.65,2021,Inglaterra
Southampton,43,12.7,63,2,47.4,76.6,17.8,6.63,2021,Inglaterra
Newcastle United,44,11.8,79,2,39.3,74.6,17.8,6.61,2021,Inglaterra
Everton,43,11.5,78,6,39.1,73.3,16.8,6.59,2021,Inglaterra
Leeds,42,12.8,101,3,51.9,78.0,12.6,6.54,2021,Inglaterra
Watford,34,10.5,57,3,39.7,72.9,18.9,6.54,2021,Inglaterra
Norwich,23,9.8,55,1,42.3,77.5,13,6.42,2021,Inglaterra
Manchester City,53,16.8,19,1,65.4,89.3,12.6,6.90,2022,Inglaterra
Arsenal,45,16.2,33,0,57.1,85.2,11.3,6.86,2022,Inglaterra
Newcastle United,33,14.5,36,0,50.8,78.5,14.5,6.82,2022,Inglaterra
Manchester United,32,13.7,50,0,51.8,81.4,12.3,6.73,2022,Inglaterra
Tottenham,40,13.9,42,1,50.7,84.1,14,6.71,2022,Inglaterra
Liverpool,34,16.5,21,1,59.4,83.1,12,6.69,2022,Inglaterra
Brighton,37,13.6,27,0,57.2,84.4,11.8,6.65,2022,Inglaterra
Chelsea,22,11.6,40,3,58.2,84.7,13.5,6.64,2022,Inglaterra
Brentford,32,10.1,28,0,42.9,74.0,16.2,6.64,2022,Inglaterra
Fulham,32,11.8,50,1,47.2,78.8,14,6.61,2022,Inglaterra
Aston Villa,23,11.5,45,1,48.5,79.8,12.9,6.58,2022,Inglaterra
West Ham,17,13.7,26,0,44.0,79.7,15.8,6.57,2022,Inglaterra
Crystal Palace,18,10.9,45,2,45.3,79.5,12.4,6.57,2022,Inglaterra
Leicester,28,10.7,24,0,51.0,82.7,12,6.56,2022,Inglaterra
Leeds,26,12.5,40,2,49.8,75.6,14.6,6.56,2022,Inglaterra
Everton,15,9.9,42,0,46.3,80.1,12.5,6.55,2022,Inglaterra
Southampton,17,11.3,32,0,43.8,76.1,15.9,6.49,2022,Inglaterra
Wolverhampton Wanderers,12,11.6,41,3,48.8,82.1,11.5,6.49,2022,Inglaterra
Nottingham Forest,16,10.7,44,0,39.8,74.6,14.5,6.47,2022,Inglaterra
Bournemouth,19,8.4,33,0,40.1,77.2,13.5,6.47,2022,Inglaterra
Bayern Munich,99,17.1,44,3,58.1,85.5,12.9,6.95,2020,Alemania
Borussia Dortmund,75,14.6,43,1,57.5,85.5,12.8,6.84,2020,Alemania
Wolfsburg,61,14.1,56,3,51.0,78.0,16.9,6.80,2020,Alemania
RasenBallsport Leipzig,60,16,57,0,57.3,83.2,18.6,6.78,2020,Alemania
Bayer Leverkusen,53,13,58,0,57.3,84.4,13.1,6.73,2020,Alemania
Eintracht Frankfurt,69,13.2,80,1,24.8,79.6,17.9,6.73,2020,Alemania
Borussia M.Gladbach,64,13.4,61,2,51.5,82.0,15.3,6.70,2020,Alemania
VfB Stuttgart,56,13.4,63,2,27.4,81.1,16.3,6.68,2020,Alemania
Hoffenheim,52,12.6,65,4,50.8,80.7,15.7,6.63,2020,Alemania
Union Berlin,50,11.7,55,2,20.9,76.2,17.6,6.62,2020,Alemania
