Club,Año,Formation,sum(Min),sum(Sh),sum(G),sum(ShA),sum(GA),Edad,Valor plantilla (mill. €),Amarillas,Rojas,Posesión (%),Acierto Pase (%),Rating,Pais
AC Milan,2022,4-2-3-1,1489,248,31,183,22,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,4-3-3,103,21,2,11,0,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,5-3-2,81,10,1,11,2,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,3-5-2,60,13,0,2,0,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,4-4-2,37,6,1,2,0,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,3-4-3,35,3,0,4,0,26.3,574.40,50,2,54.8,81.2,6.66,Italia
AC Milan,2022,5-4-1,10,2,0,4,0,26.3,574.40,50,2,54.8,81.2,6.66,Italia
Ajaccio,2022,4-4-2,1629,181,15,186,26,28.6,24.65,43,4,44.7,75.7,6.38,Francia
Ajaccio,2022,4-3-3,86,3,0,9,3,28.6,24.65,43,4,44.7,75.7,6.38,Francia
Ajaccio,2022,5-4-1,48,2,1,6,5,28.6,24.65,43,4,44.7,75.7,6.38,Francia
Ajaccio,2022,4-5-1,18,0,0,5,0,28.6,24.65,43,4,44.7,75.7,6.38,Francia
Almeria,2022,4-3-3,863,118,12,104,12,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,5-3-2,450,43,2,88,11,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,4-2-3-1,267,29,6,35,3,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,3-5-2,191,23,3,26,2,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,3-4-3,14,4,0,4,1,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,4-4-2,14,1,0,0,0,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,5-4-1,13,2,0,1,0,25.5,100.20,52,3,46.1,79.4,6.49,España
Almeria,2022,4-5-1,6,1,0,1,0,25.5,100.20,52,3,46.1,79.4,6.49,España
Angers,2022,4-2-3-1,770,93,6,93,11,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Angers,2022,5-3-2,473,41,4,57,10,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Angers,2022,3-5-2,234,21,2,36,10,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Angers,2022,4-4-2,186,30,2,31,6,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Angers,2022,4-5-1,99,9,2,24,4,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Angers,2022,3-4-3,21,2,1,2,0,24.7,60.50,35,3,47.5,82.7,6.41,Francia
Arsenal,2022,4-2-3-1,872,143,22,75,10,24.7,797.00,33,0,57.1,85.2,6.86,Inglaterra
Arsenal,2022,4-3-3,866,155,21,79,6,24.7,797.00,33,0,57.1,85.2,6.86,Inglaterra
Arsenal,2022,3-4-3,49,12,2,6,0,24.7,797.00,33,0,57.1,85.2,6.86,Inglaterra
Arsenal,2022,5-4-1,9,0,0,2,0,24.7,797.00,33,0,57.1,85.2,6.86,Inglaterra
Arsenal,2022,5-3-2,5,0,0,1,0,24.7,797.00,33,0,57.1,85.2,6.86,Inglaterra
Aston Villa,2022,4-3-3,734,96,5,97,12,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Aston Villa,2022,4-4-2,482,49,6,50,5,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Aston Villa,2022,4-2-3-1,431,60,10,56,8,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Aston Villa,2022,4-3-1-2,191,21,2,23,2,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Aston Villa,2022,5-4-1,21,1,0,5,0,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Aston Villa,2022,5-3-2,12,2,0,1,0,27.4,440.60,45,1,48.5,79.8,6.58,Inglaterra
Atalanta,2022,3-5-2,885,120,14,97,10,25.9,310.20,49,1,49.2,79.6,6.68,Italia
Atalanta,2022,3-4-3,716,95,19,107,10,25.9,310.20,49,1,49.2,79.6,6.68,Italia
Atalanta,2022,4-2-3-1,170,30,4,23,3,25.9,310.20,49,1,49.2,79.6,6.68,Italia
Atalanta,2022,5-4-1,20,3,0,3,0,25.9,310.20,49,1,49.2,79.6,6.68,Italia
Athletic Club,2022,4-2-3-1,1474,226,21,142,18,27.3,224.30,34,2,51.8,80.7,6.58,España
Athletic Club,2022,4-3-3,201,44,4,16,0,27.3,224.30,34,2,51.8,80.7,6.58,España
Athletic Club,2022,4-5-1,30,1,0,3,0,27.3,224.30,34,2,51.8,80.7,6.58,España
Athletic Club,2022,4-4-2,7,1,0,1,1,27.3,224.30,34,2,51.8,80.7,6.58,España
Atletico Madrid,2022,4-4-2,533,72,5,60,4,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,3-5-2,359,55,3,45,8,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,5-3-2,312,38,8,40,1,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,4-3-3,243,44,5,25,1,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,5-4-1,128,23,3,18,1,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,3-4-3,90,25,2,5,0,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,4-5-1,33,4,0,8,1,28.4,480.00,47,5,49.0,83.4,6.68,España
Atletico Madrid,2022,4-3-1-2,25,2,1,2,0,28.4,480.00,47,5,49.0,83.4,6.68,España
Augsburg,2022,4-2-3-1,4201,18,3,40,2,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Augsburg,2022,4-4-2,650,75,14,120,16,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Augsburg,2022,3-5-2,469,42,3,92,10,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Augsburg,2022,3-4-3,177,33,1,21,1,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Augsburg,2022,4-3-1-2,93,16,1,11,1,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Augsburg,2022,5-3-2,11,0,0,4,0,25.4,111.95,52,2,41.5,65.7,6.52,Alemania
Auxerre,2022,4-3-3,908,95,8,126,22,25.5,44.50,22,6,44.8,81.5,6.42,Francia
Auxerre,2022,4-5-1,347,43,4,34,7,25.5,44.50,22,6,44.8,81.5,6.42,Francia
Auxerre,2022,4-4-2,247,43,2,33,4,25.5,44.50,22,6,44.8,81.5,6.42,Francia
Auxerre,2022,4-2-3-1,187,21,2,28,3,25.5,44.50,22,6,44.8,81.5,6.42,Francia
Auxerre,2022,5-4-1,91,9,0,9,5,25.5,44.50,22,6,44.8,81.5,6.42,Francia
Barcelona,2022,4-3-3,1458,256,31,115,5,25.2,777.00,43,5,65.0,88.6,6.87,España
Barcelona,2022,3-4-3,76,14,3,9,1,25.2,777.00,43,5,65.0,88.6,6.87,España
Barcelona,2022,4-5-1,64,6,2,10,0,25.2,777.00,43,5,65.0,88.6,6.87,España
Barcelona,2022,3-5-2,12,0,0,2,0,25.2,777.00,43,5,65.0,88.6,6.87,España
Bayer Leverkusen,2022,4-2-3-1,697,102,7,100,13,24.5,418.70,33,4,51.7,82.0,6.55,Alemania
Bayer Leverkusen,2022,3-4-3,613,71,18,76,10,24.5,418.70,33,4,51.7,82.0,6.55,Alemania
Bayer Leverkusen,2022,3-5-2,279,27,5,34,5,24.5,418.70,33,4,51.7,82.0,6.55,Alemania
Bayer Leverkusen,2022,5-3-2,4,1,0,0,0,24.5,418.70,33,4,51.7,82.0,6.55,Alemania
Bayern Munich,2022,4-2-3-1,1246,249,37,111,12,26.0,945.70,24,1,66.7,87.4,6.98,Alemania
Bayern Munich,2022,4-4-2,299,83,14,28,3,26.0,945.70,24,1,66.7,87.4,6.98,Alemania
Bayern Munich,2022,3-5-2,16,4,0,0,0,26.0,945.70,24,1,66.7,87.4,6.98,Alemania
Bayern Munich,2022,4-3-1-2,9,1,0,0,0,26.0,945.70,24,1,66.7,87.4,6.98,Alemania
Bayern Munich,2022,3-4-3,8,4,0,2,0,26.0,945.70,24,1,66.7,87.4,6.98,Alemania
Bochum,2022,4-2-3-1,763,100,8,123,13,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bochum,2022,4-3-3,443,52,7,71,10,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bochum,2022,3-5-2,142,11,2,31,5,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bochum,2022,4-4-2,113,15,0,26,7,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bochum,2022,4-3-1-2,95,10,0,11,2,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bochum,2022,3-4-3,43,2,0,9,2,27.7,48.13,29,0,46.0,70.4,6.42,Alemania
Bologna,2022,4-2-3-1,942,119,12,125,17,25.4,124.10,50,2,52.8,80.4,6.53,Italia
Bologna,2022,3-5-2,565,71,7,97,9,25.4,124.10,50,2,52.8,80.4,6.53,Italia
Bologna,2022,4-3-3,198,38,3,29,2,25.4,124.10,50,2,52.8,80.4,6.53,Italia
Bologna,2022,3-4-3,192,19,4,16,2,25.4,124.10,50,2,52.8,80.4,6.53,Italia
Borussia Dortmund,2022,4-2-3-1,1196,187,26,171,21,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia Dortmund,2022,4-3-3,205,32,3,18,2,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia Dortmund,2022,4-5-1,93,15,1,7,0,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia Dortmund,2022,3-5-2,71,8,0,14,2,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia Dortmund,2022,4-4-2,27,6,1,2,0,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia Dortmund,2022,5-3-2,8,1,0,0,0,24.5,531.70,40,0,57.1,83.1,6.72,Alemania
Borussia M.Gladbach,2022,4-2-3-1,1586,199,30,228,27,25.6,233.00,33,1,53.6,82.4,6.68,Alemania
Borussia M.Gladbach,2022,5-4-1,17,2,0,9,1,25.6,233.00,33,1,53.6,82.4,6.68,Alemania
Bournemouth,2022,4-4-2,872,94,11,144,13,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Bournemouth,2022,4-2-3-1,425,36,4,73,12,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Bournemouth,2022,5-3-2,289,25,2,40,5,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Bournemouth,2022,3-4-3,201,10,2,45,7,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Bournemouth,2022,5-4-1,59,2,0,12,3,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Bournemouth,2022,3-5-2,48,0,0,8,2,26.7,188.70,33,0,40.1,77.2,6.47,Inglaterra
Brentford,2022,4-3-3,871,104,15,120,11,25.4,317.10,28,0,42.9,74.0,6.64,Inglaterra
Brentford,2022,3-5-2,811,74,12,151,15,25.4,317.10,28,0,42.9,74.0,6.64,Inglaterra
Brentford,2022,5-3-2,147,17,4,29,1,25.4,317.10,28,0,42.9,74.0,6.64,Inglaterra
Brentford,2022,3-4-3,70,8,1,7,0,25.4,317.10,28,0,42.9,74.0,6.64,Inglaterra
Brentford,2022,4-2-3-1,8,0,0,1,1,25.4,317.10,28,0,42.9,74.0,6.64,Inglaterra
Brest,2022,4-3-3,917,131,12,123,18,25.2,65.80,35,1,45.3,78.4,6.53,Francia
Brest,2022,4-2-3-1,416,42,4,60,9,25.2,65.80,35,1,45.3,78.4,6.53,Francia
Brest,2022,4-4-2,260,26,3,36,5,25.2,65.80,35,1,45.3,78.4,6.53,Francia
Brest,2022,5-3-2,190,14,0,20,2,25.2,65.80,35,1,45.3,78.4,6.53,Francia
Brighton,2022,4-2-3-1,734,106,22,85,12,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Brighton,2022,3-4-3,643,92,8,66,5,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Brighton,2022,3-5-2,179,29,6,14,4,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Brighton,2022,4-4-2,154,18,1,15,5,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Brighton,2022,4-3-3,82,18,0,9,1,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Brighton,2022,4-5-1,13,0,0,1,0,24.8,308.60,27,0,57.2,84.4,6.65,Inglaterra
Cadiz,2022,4-4-2,1285,127,11,217,20,28.9,57.70,48,6,39.6,74.0,6.41,España
Cadiz,2022,4-2-3-1,284,19,2,45,4,28.9,57.70,48,6,39.6,74.0,6.41,España
Cadiz,2022,4-3-3,124,13,0,19,4,28.9,57.70,48,6,39.6,74.0,6.41,España
Cadiz,2022,4-5-1,90,14,1,11,0,28.9,57.70,48,6,39.6,74.0,6.41,España
Cadiz,2022,5-4-1,19,0,0,3,1,28.9,57.70,48,6,39.6,74.0,6.41,España
Celta Vigo,2022,4-3-1-2,1057,138,13,115,21,26.2,124.20,39,3,50.9,82.8,6.49,España
Celta Vigo,2022,5-3-2,279,40,2,28,2,26.2,124.20,39,3,50.9,82.8,6.49,España
Celta Vigo,2022,3-4-3,190,32,1,13,1,26.2,124.20,39,3,50.9,82.8,6.49,España
Celta Vigo,2022,4-4-2,141,17,1,12,2,26.2,124.20,39,3,50.9,82.8,6.49,España
Celta Vigo,2022,4-5-1,47,4,0,12,3,26.2,124.20,39,3,50.9,82.8,6.49,España
Chelsea,2022,3-4-3,709,83,10,97,7,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,4-2-3-1,442,52,4,50,2,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,4-3-3,347,42,4,38,3,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,3-5-2,197,30,1,21,4,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,4-4-2,115,13,2,8,1,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,4-3-1-2,61,9,1,9,3,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,5-3-2,25,2,0,3,1,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Chelsea,2022,5-4-1,7,1,0,1,0,25.3,1.02,40,3,58.2,84.7,6.64,Inglaterra
Clermont Foot,2022,3-4-3,1013,111,11,137,12,26.0,32.80,41,2,48.7,81.5,6.55,Francia
Clermont Foot,2022,3-5-2,401,55,7,47,6,26.0,32.80,41,2,48.7,81.5,6.55,Francia
Clermont Foot,2022,4-2-3-1,372,33,6,62,9,26.0,32.80,41,2,48.7,81.5,6.55,Francia
Cremonese,2022,3-5-2,1209,163,7,209,19,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Cremonese,2022,4-2-3-1,350,59,4,47,7,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Cremonese,2022,3-4-3,156,16,2,17,3,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Cremonese,2022,4-3-1-2,64,10,1,16,3,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Cremonese,2022,4-4-2,21,8,0,3,1,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Cremonese,2022,4-3-3,7,0,0,1,0,25.5,58.55,47,1,42.9,74.3,6.44,Italia
Crystal Palace,2022,4-3-3,878,120,11,109,8,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Crystal Palace,2022,4-2-3-1,725,75,4,105,10,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Crystal Palace,2022,5-4-1,187,11,3,42,5,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Crystal Palace,2022,4-4-2,56,11,0,11,2,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Crystal Palace,2022,4-3-1-2,28,2,0,1,1,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Crystal Palace,2022,4-5-1,16,0,0,3,1,27.5,288.70,45,2,45.3,79.5,6.57,Inglaterra
Eintracht Frankfurt,2022,3-4-3,1086,147,26,151,16,24.8,270.95,27,1,49.5,78.0,6.65,Alemania
Eintracht Frankfurt,2022,4-2-3-1,378,43,9,26,5,24.8,270.95,27,1,49.5,78.0,6.65,Alemania
Eintracht Frankfurt,2022,4-4-2,94,12,0,12,3,24.8,270.95,27,1,49.5,78.0,6.65,Alemania
Eintracht Frankfurt,2022,5-4-1,42,4,1,6,1,24.8,270.95,27,1,49.5,78.0,6.65,Alemania
Elche,2022,4-4-2,446,50,1,72,9,27.4,66.90,55,7,42.4,79.0,6.3,España
Elche,2022,3-4-3,379,43,2,52,5,27.4,66.90,55,7,42.4,79.0,6.3,España
Elche,2022,5-3-2,328,21,4,50,5,27.4,66.90,55,7,42.4,79.0,6.3,España
Elche,2022,5-4-1,215,14,2,40,6,27.4,66.90,55,7,42.4,79.0,6.3,España
Elche,2022,4-3-3,187,14,1,26,5,27.4,66.90,55,7,42.4,79.0,6.3,España
Elche,2022,4-2-3-1,149,13,2,28,6,27.4,66.90,55,7,42.4,79.0,6.3,España
